uf,municipio,qtde,latitude,longitude
BA,MUCURI,81,-18.0754,-39.5565
BA,MULUNGU DO MORRO,3,-11.9648,-41.6374
BA,MUNDO NOVO,16,-11.8541,-40.4714
BA,MUNIZ FERREIRA,7,-13.0092,-39.1092
BA,MUQUEM DE SAO FRANCISCO,10,-12.065,-43.5497
BA,MURITIBA,22,-12.6329,-38.9921
BA,MUTUIPE,12,-13.2284,-39.5044
BA,NAZARE,36,-13.0235,-39.0108
BA,NILO PECANHA,7,-13.604,-39.1091
BA,NORDESTINA,7,-10.8192,-39.4297
BA,NOVA CANAA,4,-14.7912,-40.1458
BA,NOVA FATIMA,3,-11.6031,-39.6302
BA,NOVA IBIA,5,-13.812,-39.6182
BA,NOVA ITARANA,3,-13.0241,-40.0653
BA,NOVA REDENCAO,12,-12.815,-41.0748
BA,NOVA SOURE,9,-11.2329,-38.4871
BA,NOVA VICOSA,71,-17.8926,-39.3743
BA,NOVO HORIZONTE,4,-12.8083,-42.1682
BA,NOVO TRIUNFO,4,-10.3182,-38.4014
BA,OLINDINA,13,-11.3497,-38.3379
BA,OLIVEIRA DOS BREJINHOS,10,-12.3132,-42.8969
BA,OURICANGAS,6,-12.0175,-38.6166
BA,OUROLANDIA,9,-10.9578,-41.0756
BA,PALMAS DE MONTE ALTO,7,-14.2676,-43.1609
BA,PALMEIRAS,3,-12.5059,-41.5809
BA,PARAMIRIM,16,-13.4388,-42.2395
BA,PARATINGA,8,-12.687,-43.1798
BA,PARIPIRANGA,8,-10.6859,-37.8626
BA,PAU BRASIL,9,-15.4572,-39.6458
BA,PAULO AFONSO,69,-9.3983,-38.2216
BA,PE DE SERRA,9,-11.8313,-39.611
BA,PEDRAO,3,-12.1491,-38.6487
BA,PEDRO ALEXANDRE,1,-10.012,-37.8932
BA,PIATA,21,-13.1465,-41.7702
BA,PILAO ARCADO,19,-10.0051,-42.4936
BA,PINDAI,10,-14.4921,-42.68600000000001
BA,PINDOBACU,11,-10.7433,-40.3675
BA,PINTADAS,3,-11.8117,-39.9009
BA,PIRAI DO NORTE,5,-13.759,-39.3836
BA,PIRIPA,12,-14.9444,-41.7168
BA,PIRITIBA,12,-11.73,-40.5587
BA,PLANALTINO,5,-13.2618,-40.3695
BA,PLANALTO,14,-14.6654,-40.4718
BA,POCOES,29,-14.5234,-40.3634
BA,POJUCA,44,-12.4303,-38.3374
BA,PONTO NOVO,6,-10.8653,-40.1311
BA,PORTO SEGURO,244,-16.4435,-39.0643
BA,POTIRAGUA,17,-15.5943,-39.8638
BA,PRADO,34,-17.3364,-39.2227
BA,PRESIDENTE DUTRA,12,-11.2923,-41.9843
BA,PRESIDENTE JANIO QUADROS,5,-14.6885,-41.6798
BA,PRESIDENTE TANCREDO NEVES,14,-13.4471,-39.4203
BA,QUEIMADAS,17,-10.9736,-39.6293
BA,QUIJINGUE,7,-10.7505,-39.2137
BA,QUIXABEIRA,5,-11.4031,-40.12
BA,RAFAEL JAMBEIRO,9,-12.4053,-39.5007
BA,REMANSO,15,-9.61944,-42.0848
BA,RETIROLANDIA,11,-11.4832,-39.4234
BA,RIACHAO DAS NEVES,8,-11.7508,-44.9143
BA,RIACHAO DO JACUIPE,28,-11.8067,-39.3818
BA,RIACHO DE SANTANA,9,-13.6059,-42.9397
